# Experimento instalado no delineamento de blocos casualizados, com 7
# repetições, avaliado em dois anos agrícolas consecutivos. Responsável
# Luís Armando Zago Machado (http://lattes.cnpq.br/4912506729242379).
# 
# Legenda dos fatores e níveis:
# 
#   * Ano: ano em que foi realizado o experimento (2012 ou 2013);
#   * Rep: representa o nível de bloco (7);
#   * Trat:
#      * SS: soja solteira (testemunha);
#      * SA: consórcio soja + capim-Aruana;
#      * ST: consórcio soja + capim-Tamani;
#      * SX: consórcio soja + capim-Xaraés;
#      * SPa: consórcio soja + capim-Paiaguás;
#      * SPi: consórcio soja + capim-Piatã;
#      * SD: consórcio soja + Brachiaria decumbens;
#      * SR: consórcio soja + B. ruziziensis.
# 
# Legenda das variáveis resposta:
# 
#   * RG: rendimento de grãos (kg/ha);
#   * Imp: teor de impurezas (%);
#   * TUmid: teor de umidade (%);
#   * AltSoja: Altura das plantas de soja (cm);
#   * NPD: número de plantas daninhas (plantas/m²);
#   * NVagem: número de vagens por planta;
#   * NGVagem: Número de grãos por vagem (Número de vagem/número de plantas
#     de soja);
#   * M100G: massa de 100 grãos (g);
#
Ano;Trat;Rep;RG;Imp;TUmid;AltSoja;NPD;NVagem;NGVagem;M100G
2;SPa;4;2356,23;6,85;14,3;90,4;0,91;25,83;1,83;12,35
2;SPa;5;2455,35;5,85;13,8;86,4;4,55;39,96;1,11;13,02
2;SPa;6;1545,49;13,51;19,1;85,6;0,91;47,52;1,63;12,12
2;SPa;7;1638,45;7,38;15,5;78,8;15,45;49,79;4,89;12,85
2;SPi;1;1358,85;11,87;19,6;86,2;19,09;55,34;1,11;12,2
2;SPi;2;2062,83;8,19;14,8;84,6;7,27;41,96;1,23;12,9
2;SPi;3;1389,03;9,71;14,7;92,6;18,18;32,31;2,45;12,41
2;SPi;4;2265,99;7,45;14,6;90,4;3,64;40,59;3,83;12,83
2;SPi;5;1795,19;8,07;15,7;88,4;2,73;61,25;1,15;12,46
2;SPi;6;2351,86;7,91;14,5;84;5,45;57,38;1,11;12,07
2;SPi;7;1499,12;6;16,4;80;10,91;41,14;4,5;12,44
2;SX;1;1594,4;11,27;16,1;87;10,91;54,88;1,2;12,3
2;SX;2;2112,13;7,44;15,2;86;32,73;48,9;0,57;12,3
2;SX;3;1896,84;3,49;14;91,6;7,27;40,91;1,55;13,06
2;SX;4;2329,09;6,64;14,1;90,6;5,45;62,83;1,14;12,7
2;SX;5;2334,35;1,39;13,7;80,2;3,64;48,64;1,82;12,63
2;SX;6;1564,27;11,92;14,6;88,8;4,55;47,71;1,33;12,23
2;SX;7;2205,73;12,13;14,7;82,2;31,82;62,12;4,22;12,27
2;SD;1;1836,87;9,41;15,9;84,2;10;71,19;1,47;11,7
2;SD;2;1794,93;8,44;15,9;86,2;9,09;53,79;1,48;13
2;SD;3;2232,43;4,71;14,2;87,2;3,64;42,16;1,37;12,92
2;SD;4;2171,51;7;14,6;92;1,82;52,86;1,35;12,6
2;SD;5;2071,52;10,75;15,2;90;9,09;53,3;0,84;12,17
2;SD;6;1946,59;9,54;15,6;91,4;1,82;42,69;0,92;11,93
2;SD;7;2032,19;6,62;14,2;86,6;20;32,5;4,72;12,51
2;SR;1;1245,33;15,22;17,6;81,6;0;50,59;2,24;12,3
2;SR;2;1715,36;9,41;17;80;9,09;57,58;1,73;12,4
2;SR;3;2447,5;7,41;14,7;89;0,91;40,8;1,69;13,12
2;SR;4;1686,46;7,09;14,4;95,8;0,91;42,27;1,05;13
2;SR;5;1623,57;8,16;14,6;88,4;5,45;51,77;1,12;12,43
2;SR;6;1956,91;11;17,1;86,2;18,18;45,32;1,26;12,18
2;SR;7;641,69;14,05;20,4;78,6;5,45;41,06;4,86;11,04
